Marca temporal,¿Qué herramienta estás evaluando?,1. La herramienta fue fácil de usar,"2. Si tuviste dificultades al usar la herramienta, explica qué aspectos fueron complicados.",3. La herramienta me pareció innecesariamente compleja.,"4. Si consideras que la herramienta fue compleja, describe qué elementos fueron confusos.",5. Encontró inconsistencias en el funcionamiento de la herramienta.,"6. Describe qué inconsistencias encontraste (por ejemplo: botones que no funcionan, instrucciones poco claras, errores en el juego, etc.).",7. Las actividades del juego me ayudaron a comprender mejor el contenido en inglés.,8. Explica por qué consideras que el juego ayudó o no ayudó a tu aprendizaje.,9. El uso del juego hizo que la actividad fuera más interesante que una actividad tradicional de clase.,10. Explica qué aspectos hicieron la actividad más interesante o menos interesante.,11. El juego facilitó mi participación durante la actividad.,12. Explica cómo influyó el juego en tu participación.,13. ¿Qué aspectos de la herramienta te ayudaron más a aprender inglés?,14. ¿Qué dificultades o problemas encontraste al utilizar la herramienta?,"15. Si pudieras mejorar estas herramientas para aprender inglés, ¿Qué cambios realizarías?",¿Qué herramienta estás evaluando? 2,1. La herramienta fue fácil de usar 2,"2. Si tuviste dificultades al usar la herramienta, explica qué aspectos fueron complicados. 2",3. La herramienta me pareció innecesariamente compleja. 2,"4. Si consideras que la herramienta fue compleja, describe qué elementos fueron confusos. 2",5. Encontré inconsistencias en el funcionamiento de la herramienta.,"6. Describe qué inconsistencias encontraste (por ejemplo: botones que no funcionan, instrucciones poco claras, errores en el juego, etc.). 2",7. Las actividades del juego me ayudaron a comprender mejor el contenido en inglés. 2,8. Explica por qué consideras que el juego ayudó o no ayudó a tu aprendizaje. 2,9. El uso del juego hizo que la actividad fuera más interesante que una actividad tradicional de clase. 2,10. Explica qué aspectos hicieron la actividad más interesante o menos interesante. 2,11. El juego facilitó mi participación durante la actividad. 2,12. Explica cómo influyó el juego en tu participación. 2,13. ¿Qué aspectos de la herramienta te ayudaron más a aprender inglés? 2,14. ¿Qué dificultades o problemas encontraste al utilizar la herramienta? 2,"15. Si pudieras mejorar estas herramientas para aprender inglés, ¿Qué cambios realizarías? 2",¿Qué herramienta estás evaluando? 3,1. La herramienta fue fácil de usar 3,"2. Si tuviste dificultades al usar la herramienta, explica qué aspectos fueron complicados. 3",3. La herramienta me pareció innecesariamente compleja. 3,"4. Si consideras que la herramienta fue compleja, describe qué elementos fueron confusos. 3",5. Encontré inconsistencias en el funcionamiento de la herramienta. 2,"6. Describe qué inconsistencias encontraste (por ejemplo: botones que no funcionan, instrucciones poco claras, errores en el juego, etc.). 3",7. Las actividades del juego me ayudaron a comprender mejor el contenido en inglés. 3,8. Explica por qué consideras que el juego ayudó o no ayudó a tu aprendizaje. 3,9. El uso del juego hizo que la actividad fuera más interesante que una actividad tradicional de clase. 3,10. Explica qué aspectos hicieron la actividad más interesante o menos interesante. 3,11. El juego facilitó mi participación durante la actividad. 3,12. Explica cómo influyó el juego en tu participación. 3,13. ¿Qué aspectos de la herramienta te ayudaron más a aprender inglés? 3,14. ¿Qué dificultades o problemas encontraste al utilizar la herramienta? 3,"15. Si pudieras mejorar estas herramientas para aprender inglés, ¿Qué cambios realizarías? 3"
2026-04-16 11:23:12.648,Duolingo,5,No hubo dificultad,1,No me pareció compleja,1,Todo era perfectamente funcional y claro,3,"El test inicial de nivel es muy general y no me permite empezar desde donde creo que debería. Las primeras lecciones del nivel que me ubicó ya lo sabía, tuve que buscar yo mismo dónde tenía que ir. Aunque en parte también funcionó para recordar esos temas",5,Las animaciones de los personajes y las palabras/tarjetas,5,"Cada pregunta está orientada a contestarla yo ya sea de forma hablada, escrita, seleccion de tarjetas o traducción",Que pude pasar de lecciones que ya sabía a otras donde no sabia algunas cosas y allí me quedaba para pasar cada nivel y aprender,Hay un botón de comunidad donde no entendí cómo debía publicar algo o si las publicaciones que ahí aparecen son para los premium nomás,Que la comunidad sea un poco más accesible para todos y el test inicial no sea tan general. Tal agregando preguntas reales en inglés y entender mejor en qué nivel se encuentra el usuario,British Council Games,5,No tuve dificultad,1,No fue complejo,1,No encontré inconsistencias,1,"No ayudó porque no me decía qué hice mal, solo me permitía responder y seguir",3,Es demasiado serio ya que se busca evaluar el nivel y entregar un certificado que luego hay que pagar,4,Yo debía responder las preguntas,No siento que haya aprendido más,No hubo dificultad,Que el nivel obtenido pueda ser mejorado mediante juegos,Grammar Ninja,4,Que creí que el idioma a escoger era el que hablaba para que la interfaz sea en ese idioma pero la prueba salió en español así que pedía el idioma que deseaba aprender,1,No fue complejo,1,No encontré inconsistencias,5,Si ayuda porque corrige si uno se equivoca  de forma visual,5,Lo hizo interesante las animaciones y la música sobre todo.,5,La forma en que puedo responder es muy linda con los bumerangs como si fuera un ninja,Las lecciones son fáciles de seguir el ritmo,Creo que las distintas opciones e interfaces que hay. No entendía por donde debía empezar,Que se hiciera un tipo tour por la app y se haga un test inicial para ubicarme en algún nivel y las lecciones sean acordé a ese nivel
2026-04-16 11:41:00.621,Duolingo,5,Ninguna complicación,1,Es muy intuitiva,1,Ninguna inconsistencia,5,"Las actividades son diferentes, por lo que ayuda a no aburrirse y a querer participar.",5,El cambio constante de modalidad ayudó a mantener la concentración e interés de seguir haciendo la lección,5,"No solo las actividades dinámicas, sino el sistema de puntajes y recompensas es un punto a favor para querer participar","Se enfoca en distintas áreas de aprendizaje, por lo que ayuda a reforzar todo: speaking, reading, listening, grammar.",Ninguno,Pondría un examen diagnostico más exhaustivo para colocar al usuario en el nivel correspondiente.,British Council Games,5,Ninguna dificultad,1,No se encontró complejidad,1,No hay inconsistencia en el funcionamiento,3,"Es ineficiente, la modalidad es como si fuese un libro de actividades pero simplemente de manera digital",1,"Como ya se mencionó, la gestión de las actividades es tal como un libro de actividades, que a la larga podría verse muy repetitivo y aburrido",1,"La manera de presentar las preguntas, si bien convierte un acierto el tiempo, es aburrida","Las preguntas son más técnicas, por lo que te obliga a analizar las respuestas.","Mucha publicidad invasiva, interfaz de usuario muy poco atractiva","Cambio total en la modalidad de las lecciones, cambio total de la interfaz de usuario y reducción de publicidad",Grammar Ninja,5,Ninguna dificultad,1,No hubo ninguna complejidad,1,No encontré inconsistencias,3,"Explica la teoría de la gramática en mitad del juego, pero es demasiado vago en su explicación.",3,"Si bien solo tiene una modalidad, es bastante entretenido con las animaciones y obliga a mantener atención todo el tiempo en cada parte de la lección.",3,"Si bien en un inicio se hizo interesante, con el paso del tiempo se volvió repetitivo","Se concentró en enseñar el inglés de forma académica, en específico, el grammar","Un problema es que el usuario se puede aburrir de manera rápida de la modalidad, adicional, puede resultar molestas las animaciones luego de un rato jugando.",Agregaría muchas más modalidades y adicionaría más recursos de aprendizaje
2026-04-16 12:13:21.404,Duolingo,5,No existieron complicaciones,1,"No es compleja, es intuitiva y fácil de manejar",1,No existieron inconsistencias,5,Si me ayudo ya que son juegos interactivos,5,Fue muy interesante ya que a la vez jugamos y aprendemos inglés,4,En sus juegos interactivos,Retroalimentación,No tuve ningún problema,Tenga mas comodines para usuarios principiantes,Grammar Ninja,5,No existieron complicaciones,2,No fue compleja,1,Instrucciones poco claras,5,Me ayudo mucho ya que fue explicativo y con imágenes,5,Fue interesante ya que acumulábamos puntos,4,En ser interactivo,Retroalimentación y comprensión visual,No hubo ninguna,Colocar ayudas al usuario principiante,British Council Games,5,no existió complicaciones,1,No fue compleja,1,No encontré inconsistencias,5,me ayudo por que me dio una retroalimentación de mi actividad,5,Es interesante ya que jugamos mientras aprendemos,5,En el hecho de aprender ingles,Sus distintas fases de aprendizaje,No encontré problemas,Mejorar la parte de la visual de la interfaz de usuario
2026-04-16 14:43:26.907,Duolingo,5,Ninguna complicación,1,No fue compleja,1,Ninguna inconsistencias,4,"No es tan grande la ayuda para entender el inglés, es más como una herramienta que mantiene fresco el inglés en nuestra cabeza, ya que los ejercicios que aborda son demasiado simples, a mi parecer",5,"Es bastante intuitivo al momento de poner un nuevo tipo de juego, y no se siente repetitivo. Y la retroalimentación",5,Me daba retroalimentación e instrucciones de juego,El feedback al ingresar una respuesta incorrecta,Ninguno,Agregar un nivel de dificultad para cada ejercicio,Grammar Ninja,4,Ninguna,3,"No fue compleja, fue simple",1,Ninguna,3,"No me ayudó tanto, porque solo me mostraba un error, pero no una explicación del por qué me equivoqué, ni que significa la palabra que elegí mal",1,Se sintió igual que una encuesta de selección multiple,3,Me mostraba ejercicio tras ejercicio sin un momento de descanso ni un botón de pausa visible,La opción multiple e imagenes cuando respondía bien,"El unico feedback era el de respuesta errónea, no había información anterior para aprender, ni información sobre el nivel de inglés que debe tener el usuario",Mostrar contenido informativo sobre los conocimientos a evaluar,British Council Games,5,"Ninguna, solo que para una persona que apenas empieza con el inglés puede resultarle confuso",1,No fue compleja,2,"Quizá me confundí un poco en la opción Spelling, ya que creí que iba a ser un juego de usar el micrófono, nada más",4,"Había un icono de cuenta regresiva el cual molestaba mucho, y me llegó a causar desesperación ya que avanzaba rápido y no podía concentrarme.",4,La variedad de juegos,3,"Existen 3 tipos de juegos y con varias categorías, me refiero a que los temas se separaban",La retroalimentación,Ninguna,"Mostrar mejor la evaluación-feedback. Y mejorar los estilos, ya que es muy simple el diseño"
2026-04-16 20:28:05.198,Duolingo,4,"Es muy intuitiva, pero al crear una cuenta nueva te pide muchas cosas, por lo que es usuario se podría cansar antes de empezar con sus lecciones.",3,Al momento de acabar una lección se presentan muchos anuncios para comprar la versión pagada y quizá uno por error pueda terminar comprándola.,2,En lo personal el audio no se conecta bien por lo cual no puedo completar las lecciones que son de audio.,5,"Refuerza mucho el aprendizaje con cada lección entre audio, y escribir ya sea en inglés o español.",4,La hicieron más dinámica en comparación a como puede ser una actividad en clase.,5,Es muy interactivo y fácil de usar las herramientas en las lecciones.,Es más interactivo y eso ayuda mucho en mi concentración.,Los anuncios pueden ser muy evasivos.,Podría mejorar si hay lecciones que evalúan más el hablar y pronunciar de manera correcta.,Grammar Ninja,3,"No es tan intuitiva, y por ejemplo no tiene explicación de cada modo.",2,Los modos no tienen una explicación de qué tratan o que se debe hacer en la lección exactamente.,2,Instrucciones poco claras,5,Tiene palabras nuevas y frases que se usan a diario.,3,"Quizá en que trae palabras nuevas, y lo hace con una cantidad de tiempo por pregunta.",3,"Quizá en que trae palabras nuevas, y lo hace con una cantidad de tiempo por pregunta.",Nuevas frases y palabras que no conocía y están separadas por categorías.,No es muy clara en sus instrucciones.,Hacerla más agradable a la vista de usuario porque se la va muy simple y añadir instrucciones más claras.,British Council Games,3,De igual manera no maneja instrucciones claras.,3,No es muy intuitiva. Solo te da iconos y debe decidir cuál elegir.,3,Instrucciones poco claras,4,"Si, con la repetición y cambio de orden las oraciones me parecio un buen refuerzo de lo aprendido.",3,No considero que haya un gran cambio si por ejemplo se hicieran flashcards.,4,"Era interesante, pero no habia mucha variedad en las actividades.",El repetir en diferentes oraciones para entender mejor u significado.,No habia muchas variedad de ejemplos.,"Mejoraría la interfaz que sea mas intuitva y llamativa, y ademas aclararía las intrucciones y en que consiste cada actividad."
2026-04-16 20:38:29.358,Duolingo,4,NO,3,No,3,Todo Correcto,3,Si,3,Interfaz,3,normal,juego,ninguna,mas claro y explicito,Grammar Ninja,3,no,3,no,3,instrucciones,3,por la interfaz amigable,3,ninguna,3,normal,ninguna,ninguna,mejor interfaz,British Council Games,3,no,3,no,3,interfaz,3,todo correcto,3,diseño,3,sin comentarios,interfaz,no,interfaz y diseño
2026-04-17 14:27:09.489,Duolingo,5,No tuve ninguna dificultad.,1,"Considero que no fue compleja en lo absoluto, tiene bien detallado los menús para lo que uno quiere llegar a hacer.",4,"En los cuentos esperaría que hasta el contexto que dan sea en inglés, porque combinaba español con inglés.",5,"Ayudó porque a la vez que iba seleccionando las opciones en cada pregunta no solo me daba una retroalimentación en lo que me equivocaba, también daba la traducción ya cuando se respondía y en el vocabulario me gustaba porque no solo leía, sino también escuchaba la pronunciación e iba practicando eso a la par que respondía.",5,"La hicieron interesante el hecho de que había figuras, el sonido de cada una de las palabras mientras se respondía, la parte de la racha que te impulsa y te engancha.",5,"El hecho de que te agregaba XP para subir de ranking, también el aspecto de la racha y te pedía que establezcas una meta de la racha, además también que iba a enviar notificaciones.","Los ejercicios de vocabulario, la pronunciación de las palabras.",A veces al hablar para repetir las frases no entendía bien y tenía que gritar para que me aceptara.,Que haya una transcripción más acertada de lo que el usuario dice cuando esté en ejercicios de audio.,Grammar Ninja,4,"Tuve dificultades al ver en dónde poner pausa, y entender de qué trataba o en qué se enfocaba, cuando la fui probando la la entendí.",1,No la consideré compleja.,3,"No encontré inconsistencias, pero los anuncios en la página si estaban muy molestos, también cuando se indicaba que si se seleccionaba la opción correcta a veces se superponía la palabra y no se veía bien la oración.",5,"Me ayudó porque me puso en tiempo récord para ir respondiendo a las preguntas, más que eso seleccionando las opciones que deseaba, y si seleccionaba mal tal vez si me quitaba tiempo pero al final ya sabía cuál era la respuesta correcta.",5,"Me gustó la parte en la que se realiza de forma rápida, y claro se te acortan los intentos erróneo desapareciendo la opción errónea, luego daba como un feedback al final dentro del mismo juego, repasando mejor las palabras.",5,Literalmente viendo como el tiempo se me acababa y que debía seguir respondiendo para pasar el set.,"El hecho de que todo se veía como un reto el cuál se tenía que acabar, o sino si se acabab el tiempo ya se perdía, y las imágenes super asociadas al concepto de las frases.",Habían ciertas frases en las que las palabras se superponían no se podía leer bien.,"Cambiaría la interfaz gráfica en relación a que tenga instrucciones al inicio, y que puedas ir guardando tu progreso como creando una cuenta.",British Council Games,4,"Tuve cierta dificultad en ciertos textos de los botones, que antes de poner jugar como invitado había un Accede /Alta, o sea ese Alta no comprendí la finalidad.",3,Los ejercicios tenía un tiempo rápido y o sea se requiere cierto nivel de entendimiento pese a que era niveles fáciles para no frustrarse en medio de los ejercicios.,2,"No logré encontrar inconsistencias, tal vez que las instrucciones no se indicaban.",3,"Mas o menos porque neecsitas si o si comprender los temas con anticpación, porque los bloques de ejercicios están destinados más como para reforzar el conocimeinto, mas no para ir aprendiendolo desde cero.",2,"La verdad sentí que sería como realizar un taller en una clase de inglés, solo que en contratiempo.",3,El tiempo que daban para responder las preguntas.,"No hubo aspectos que me ayudarán a aprender inglés, más fue a recordar y reforzar el aprendizaje previo.","No encontré dificultades, pero no me atraía mucho el disñeo de la app.",Me gustó más Duolingo pero tendrían que poner un bloque más para que se traten ejercicios como en la herramienta de Grammar Ninja.
2026-04-18 08:39:37.933,Duolingo,5,Entender el sistema de vidas,3,Un poco confuso el sistema de vidas,4,Todo está bien,4,Si ayudo mucho los diferentes tipos de ejercicios,4,La interfaz muy llamativa y divertida,4,Muy divertida,Muchos temas interesantes,Ninguno,Tal vez sistema para ganar vidas,Grammar Ninja,4,Sin problemas,3,Al contrario no es compleja es simple,4,Hay confusión al saber si son botones o no,3,Pocas formas de ejercicios,3,La interfaz un poco llamativa,2,"Poca actividad, mismos ejercicios diferentes temas",Temas no tan usuales,"Muy directa, no influye a buscar más",Más tipos de ejercicios,British Council Games,4,Nada complicado,4,Al contrario no es nada compleja,3,Los botones son pocos,4,Buen tema para repasar,3,La interfaz no es llamativa,4,Buen tema para volver a repasar varias veces,Jugar con la gramática,Ninguna pero es muy limitada,Desarrollo más temas o más tipos de ejercicios
2026-04-18 10:40:08.874,Duolingo,5,"La interfaz en sí no presenta dificultades porque guía muy bien el recorrido del usuario. El único aspecto 'complicado' o frustrante es el sistema de vidas (corazones) en la versión gratuita, ya que interrumpe el flujo de aprendizaje si cometes un par de errores seguidos.",1,"No considero que sea compleja; al contrario, su diseño centrado en el usuario simplifica todo al máximo.",2,"Técnicamente la aplicación es muy estable. Sin embargo, una inconsistencia común es que a veces su sistema de validación es demasiado rígido.",4,Ayudó mucho a construir vocabulario base y a mecanizar la estructura de oraciones simples.Ayudó mucho a construir vocabulario base y a mecanizar la estructura de oraciones simples.,5,"Las fuertes mecánicas de gamificación, como mantener las rachas diarias (streaks), subir en las ligas de clasificación y ganar experiencia.",5,El formato de micro-aprendizaje reduce la fricción para empezar a estudiar.,La fluidez de su experiencia de usuario (UX) y el constante refuerzo positivo.,"La falta de explicaciones gramaticales profundas. Duolingo te enseña por contexto, pero si no entiendes el porqué de una regla","Mejoraría la integración de la teoría gramatical, ofreciendo breves 'píldoras' de información o reglas claras antes de los ejercicios para que no sea solo un proceso de prueba y error.",Grammar Ninja,5,"En general, no tuve dificultades significativas porque la interfaz es muy directa y amigable.",1,no considero que la herramienta sea compleja. Su diseño es bastante directo.,2,No encontré ninguna inconsistencia durante mi uso. Los botones respondieron correctamente,4,El juego me ayudó bastante a reforzar mi aprendizaje gracias a su retroalimentación inmediata.,5,El aspecto más interesante fue la gamificación en sí misma. Romper con la monotonía del papel y lápiz,5,El juego influyó de manera muy positiva porque me obligó a estar atento y activo en todo momento.,Lo que más destaco es la retroalimentación visual inmediata y la repetición activa.,La principal limitación es que las oraciones a veces carecen de un contexto más amplio; son frases aisladas.,"Implementaría un sistema donde, al cometer un error, el juego pause brevemente para mostrar la regla gramatical o la definición correcta, evitando que sea solo 'ensayo y error'.",British Council Games,4,"La mecánica de los juegos en sí es sencilla. La única pequeña dificultad es que, al ser juegos de navegador, la experiencia puede variar dependiendo del dispositivo",2,"La herramienta no es compleja en su uso, pero para estudiantes de niveles muy básicosLa herramienta no es compleja en su uso.",2,"En general, la plataforma es estable. Las únicas inconsistencias suelen ser técnicas, propias de los juegos web: algún tiempo de carga un poco lento o que ciertos elementos.",5,Ayudó mucho porque los juegos están diseñados con un enfoque pedagógico muy claro.,4,"Hizo la actividad más interesante al transformar los típicos ejercicios de 'rellenar el espacio en blanco' o 'unir con líneas' de un libro de texto, en actividades interactivas visuales.",4,Influyó de manera positiva al darme un espacio seguro para practicar.,"Su mayor fortaleza es la calidad, fiabilidad y estructura del contenido.Su mayor fortaleza es la calidad, fiabilidad y estructura del contenido.","La principal debilidad es la falta de un sistema de progresión unificado. Los juegos funcionan como 'islas' independientes; no hay un perfil que guarde tu progreso general, rachas, o puntos de experiencia a largo plazo.","Modernizaría la interfaz de usuario (UI) para que sea completamente responsiva y fluida en dispositivos móviles, ya que algunos juegos se sienten un poco antiguos."
2026-04-19 10:42:44.982,Duolingo,5,No hubo complicaciones,2,No fue confusa,1,Todo estuvo correcto,4,"Per que utiliza gramática, permite escuchar también",5,Es bastante dinámico,5,Permite que completes espacio que emparejes y permita que tú hagas el trabajo,Utiliza la gramática,Ninguno,Quizás hacerle un poquito más complejo y se pueda mantener conversaciones directas con la app,Grammar Ninja,3,No fue complicado,3,No fue compleja,5,Ninguna,2,No me gustó porque no es nada dinámica,1,Ninguno,2,Poca actividad,Ninguno,Ninguno,Mejoraría la interfaz la dinámica y las actividades,British Council Games,5,Ninguna,4,No hubo complejidad,2,Ninguno todo estuvo bien,4,Es participativo y dinámico,4,La actividades son interesantes (todas),5,La dinámica de la app ayuda en cada actividad,Todas sus actividades,Ninguno,La dificultad del nivel
2026-04-19 10:53:53.346,Duolingo,5,"Ninguna, la uso demasiado tiempo y es súper intuitivo",1,Ninguno,1,Ninguno,5,Porque es por intuición y visón,3,Todo neutro,5,Porque son varias preguntas y actividades,Sus actividades,Ninguna,Ninguna,Grammar Ninja,5,Ninguno,1,Súper intuitivo,1,Ninguno,4,Tiene muchas actividades interesantes,5,Son más visuales,5,Me sentí seguro,Sus preguntas repetidas,Ninguno,"Nada, está muy bonita y fácil de usar",British Council Games,5,Fue súper intuitivo,1,"Súper amigable con el estudiante, parecía que yo la hice",1,Lo que yo topé no fue nada,5,Porque repitió algunas preguntas y ayudó que se guarde mejor esas palabras,5,Diversión,4,Porque sabía que nadie me iba a juzgar,Sus actividades interactivas,Ninguno,Que haya un asistente que pueda responder nuestras preguntas en tiempo real
2026-04-19 11:07:14.452,Duolingo,4,No,2,No,2,No,3,Si ayuda al desemvolvimiento,3,Los juegos,4,Te pertime desarrollar pensamiento,Su diseño es interesante y llama la atencion,No,No,Duolingo,4,No,3,No,3,No,4,No,4,No,4,No,No,No,No,Grammar Ninja,4,No,4,No,4,No,4,Te incentiva la atencion,4,Su diseño,4,Te incentiva a aprender,Su forma de dar informacion,No,No
2026-04-19 11:22:22.768,Duolingo,4,"En ciertos niveles se me complicó al escuchar, fue tan rápido lo no logro entender bien.",3,escuchar,4,"Instrucciones poco claras, y anuncios",3,Me ayudó a conocer otra palabras que no sabía.,5,Cuando duolingo decía una palabra en ingles y yo tenía que escribirla. O el ordenamiento de oraciones.,5,Muchas de la veces duolingo tenía palabras que yo sabía identificar facilitó mi participación y motivación.,El ordenamiento de oraciones y las palabras que desconocía.,El escuchar cierto tipo de oraciones y ordenarlas me fue un tanto difícil. Pero por niveles porque niveles que eran muy fáciles y otros niveles que ya se complicaban.,"Tal vez hacer videollamadas interactuar entre los dos, me daría mucho más a comprender el inglés.",Grammar Ninja,4,Escuchar,4,Escuchar ciertos niveles con más intensidad de dificultad.,4,Instrucciones pocas claras y demasiados anuncios,4,Identificar palabras que no conocía,5,Las palabras que no conocía el ordenamiento de la oración,5,En este juego facilito mi participación debido a que conocí a palabras básicas de cierta actividad.,"Me decía ciertas palabras y yo tenía que escribirlas e identificarlas, muchas de las veces ponía unos dibujos y yo tenía que identificar qué palabra es.",En ciertos niveles hubo complicaciones complejo identificar ciertas palabras y ordenarlas.,Videollamadas,British Council Games,4,"Las estructuras de las oraciones, son muy confusas que yo no identifico.",4,Escuchar cierto tipo de palabras que no identificaba.,3,"Errores en el juego, y anuncios.",3,Identificada ciertas palabras pero no entendí muy bien lo que decía.,2,"No, no me pareció interesante.",2,No facilitó mi participación durante la actividad debido al orden gramatical.,"Casi no me ayudó mucho, porque presenta más dificultades en la gramática.",La gramática y el ordenamiento de las palabras en las oraciones.,Interactuar con alguien así sea ia. Porque considero que la conversación naturalidad mejoraría mi inglés.
2026-04-19 11:23:47.401,Duolingo,5,No tuve complicaciones,1,No fue compleja,1,No tiene inconsistencias,5,Considero que facilita el aprendizaje y mejora la atención que le dedicas a aprender,5,Creo que el aspecto de ir avanzando en niveles y ganando experiencia es lo que le hace interesante a la aplicación,5,Mejor mucho la participación y las ganas de seguir aprendiendo,La parte de las videollamadas o juego de roles,El mayor problema es la cantidad excesiva de anuncios que tiene ahora la versión gratuita,Tal vez priorizar un poco más la parte de conversaciones  más complejas,Grammar Ninja,4,Ninguno relevante; la mecánica de arrastrar o seleccionar opciones es sencilla de entender desde el primer nivel.,1,"No fue compleja, la interfaz es minimalista y el objetivo de identificar el ""phrasal verb"" es claro.",2,"En ocasiones el tiempo de respuesta del clic tiene un ligero retraso, pero no afecta el flujo general del aprendizaje.",4,"Ayudó porque permite practicar la estructura de los verbos compuestos de forma repetitiva, facilitando que se queden grabados por el contexto visual.",5,El dinamismo de la plataforma y el reto de completar las oraciones correctamente bajo presión lo hacen mucho más entretenido que un ejercicio en papel.,5,"El formato de juego me hizo sentir más involucrado, ya que para avanzar debía estar atento a cada oración y seleccionar la opción correcta rápidamente.",La práctica repetitiva y específica de los phrasal verbs ayuda a memorizar la combinación correcta de verbo y preposición.,"Al ser un juego web clásico, la interfaz de usuario (UI) se siente bastante desactualizada.",Modernizaría el diseño visual y agregaría una función para guardar el historial de los verbos en los que me equivoqué para poder repasarlos.,British Council Games,5,"Ninguna, la navegación es muy intuitiva.",1,No fue compleja,1,Ninguna. La aplicación funciona fluido,4,Ayuda a recordar el vocabulario y gramática rápidamente bajo presión,5,El límite de 60 segundos lo hace un reto dinámico,5,Me motiva a repetir los quizzes para romper mi propio récord,La agilidad del juego y la división por categorías,Las preguntas pasan rápido y no puedes analizar bien tus errores,Añadiría una explicación corta de la regla gramatical al finalizar el intento
2026-04-19 12:01:58.475,Duolingo,5,La app es muy sencilla de usar.,1,Todo fue muy claro.,1,No existieron inconsistencias,4,"El juego es interactivo, si te equivocas te explica porque, sigues jugando y al final tienes la oportunidad de corregir lo que estuvo mal. A demás puedes practicar Listening, Speaking y grammar.",5,"Fue interesante porque puedo ir a mi ritmo, hay juegos pequeños dentro de la app como escuchar historias o leer.",5,"El juego esta diseñado para que yo complete oraciones, encuentre los pares, repita oraciones, en realidad todo el juego es posible gracias a mi participación.",Es dinámica y no es aburrida a la vista.,Sin problemas.,"Cambiar la opción de energía a vidas, la energía se acaba mas rápido.",Grammar Ninja,4,No hubo dificultad,4,Muy repetitiva,1,ninguna,4,El juego me ayudo porque era repetitivo,3,"No me pareció muy interesante porque se repetian las mismas frases, en un punto se volvio tedioso completar las 5 rondas propuestas.",4,El juego consistia en que yo complete las frases y escoja que frase iba con cada imagen,Fue tan repetitivo que termine aprendiendo,"Fue tedioso tener que completar 5 rondas con las mismas frases y oraciones, el juego no tuvo gran variedad, pero me gusto que te daban las imagenes y te podias ir guiando.","Haria menos rondas o les agregaria otro tipo de modelo, no el mismo en todas las rondas",British Council Games,5,No hubo dificuktas.,1,No fue compleja.,1,No hubo.,5,"Me gusto porque hay un limite de tiempo, el juego es de opcion multiple y te deja escoger que categoria quieres practicar.",5,"Me gusta la opción del tiempo, me permite concentrarme mas",5,Tenia que elegir las opciones,"Su metodología, fue divertido jugar",No hay dificultades.,Agregaría efectos visuales.
2026-04-19 12:03:54.693,Duolingo,1,"No, todas las lecciones fueron fáciles",4,Tal vez en el listening un poco por las pronunciaciones,3,"Ninguna, solo que los anuncios aparecen y se cortan las lecciones",1,Porque es una manera interactiva de aprender,1,Los dibujitos y efectos de voz,1,Mi mente receptor mejor la información,El completar las oraciones,Ninguna,Aumentarle una sección donde sea netamente de lecturas,Grammar Ninja,3,Habían muchas opciones y con gramática similar,3,Los gráficos no eran tan claros,3,Se demoran un poco en pasar las imágenes,4,"Si ayudo, solo que es un poco confuso al momento de seleccionar",4,El movimiento de la selección de respuestas,2,Tenía q seleccionar las respuestas correctas y tenía un movimiento,Que volvían a repetir las opciones q estaba mal,Muy similar la gramática,Seleccionar imágenes más claras,British Council Games,4,"Si, los textos eran muy largos",5,Las oraciones eran muy largas,3,Ninguna,5,La gramatica era muy compleja y las palabras no se entendían,5,"No había mucha interacción, era solo como una encuesta aburrida",5,"Ninguna, solo era como una encuesta normal",Un poco el listening,Gramática compleja,Poner un poco de animaciones
2026-04-19 12:20:10.439,Duolingo,5,"la verdad Duolingo fue facil de manejar, no tuve inconvenientes",5,No hubo complejidad,2,Instrucciones poco confusas,4,"En mi opinion, son demasiado sencillos y basicos, entonces no aprenderia mucho de ellos",1,"Es basico los juegos, y no hay coherencia",5,Muy amplio y llamativo,La escritura,Ninguna,La interfaz de los juegos y la gratuidad al 100%,Grammar Ninja,5,Ninguno,5,Ninguno,5,Instrucciones poco claras,2,No ayudó porque no hay alguna traducción de la poca información que da,1,Es muy poco interesante,5,Me hizo pensar,Las imagenes que tiene dentro,Ninguna,La interfaz y mayor información,British Council Games,4,Las instrucciones del como jugar,5,No hubo complejidad,3,La interfaz es muy simple y poco llamativa,5,Me ayudo en la gramatica,2,"Muy sencilla la app, poco color",5,"Aunque sea sencillo, me ayudo a elejir las respuestas correctas gracias al conocimiento previo",Las oraciones bien estructuradas y la complejidad de ellas,Ninguno la verdad,"El diseño, le pondría imagenes o algo de color"
